EAR,MAR,TIME
0.22130344262750754,0.6690355937288491,22:07:20.799489
0.22130344262750754,0.6690355937288491,22:07:20.799489
0.2573995639309099,0.6694254176766072,22:07:21.202111
0.22130344262750754,0.6690355937288491,22:07:20.799489
0.2573995639309099,0.6694254176766072,22:07:21.202111
0.28817453831121526,0.7357022603955159,22:07:21.515973
0.22130344262750754,0.6690355937288491,22:07:20.799489
0.2573995639309099,0.6694254176766072,22:07:21.202111
0.28817453831121526,0.7357022603955159,22:07:21.515973
0.26259247481488057,0.7023689270621826,22:07:21.801977
0.22130344262750754,0.6690355937288491,22:07:20.799489
0.2573995639309099,0.6694254176766072,22:07:21.202111
0.28817453831121526,0.7357022603955159,22:07:21.515973
0.26259247481488057,0.7023689270621826,22:07:21.801977
0.281698420669817,0.36666666666666664,22:07:22.095358
0.22130344262750754,0.6690355937288491,22:07:20.799489
0.2573995639309099,0.6694254176766072,22:07:21.202111
0.28817453831121526,0.7357022603955159,22:07:21.515973
0.26259247481488057,0.7023689270621826,22:07:21.801977
0.281698420669817,0.36666666666666664,22:07:22.095358
0.28833419086267104,0.2,22:07:22.426925
0.22130344262750754,0.6690355937288491,22:07:20.799489
0.2573995639309099,0.6694254176766072,22:07:21.202111
0.28817453831121526,0.7357022603955159,22:07:21.515973
0.26259247481488057,0.7023689270621826,22:07:21.801977
0.281698420669817,0.36666666666666664,22:07:22.095358
0.28833419086267104,0.2,22:07:22.426925
0.3300888330823039,0.1276142374915397,22:07:22.761597
0.22130344262750754,0.6690355937288491,22:07:20.799489
0.2573995639309099,0.6694254176766072,22:07:21.202111
0.28817453831121526,0.7357022603955159,22:07:21.515973
0.26259247481488057,0.7023689270621826,22:07:21.801977
0.281698420669817,0.36666666666666664,22:07:22.095358
0.28833419086267104,0.2,22:07:22.426925
0.3300888330823039,0.1276142374915397,22:07:22.761597
0.3047250026441332,0.223606797749979,22:07:23.070601
0.22130344262750754,0.6690355937288491,22:07:20.799489
0.2573995639309099,0.6694254176766072,22:07:21.202111
0.28817453831121526,0.7357022603955159,22:07:21.515973
0.26259247481488057,0.7023689270621826,22:07:21.801977
0.281698420669817,0.36666666666666664,22:07:22.095358
0.28833419086267104,0.2,22:07:22.426925
0.3300888330823039,0.1276142374915397,22:07:22.761597
0.3047250026441332,0.223606797749979,22:07:23.070601
0.3519711147848016,0.40410352085392204,22:07:23.389512
0.22130344262750754,0.6690355937288491,22:07:20.799489
0.2573995639309099,0.6694254176766072,22:07:21.202111
0.28817453831121526,0.7357022603955159,22:07:21.515973
0.26259247481488057,0.7023689270621826,22:07:21.801977
0.281698420669817,0.36666666666666664,22:07:22.095358
0.28833419086267104,0.2,22:07:22.426925
0.3300888330823039,0.1276142374915397,22:07:22.761597
0.3047250026441332,0.223606797749979,22:07:23.070601
0.3519711147848016,0.40410352085392204,22:07:23.389512
0.3097953028263001,0.8685128379379139,22:07:23.688485
0.22130344262750754,0.6690355937288491,22:07:20.799489
0.2573995639309099,0.6694254176766072,22:07:21.202111
0.28817453831121526,0.7357022603955159,22:07:21.515973
0.26259247481488057,0.7023689270621826,22:07:21.801977
0.281698420669817,0.36666666666666664,22:07:22.095358
0.28833419086267104,0.2,22:07:22.426925
0.3300888330823039,0.1276142374915397,22:07:22.761597
0.3047250026441332,0.223606797749979,22:07:23.070601
0.3519711147848016,0.40410352085392204,22:07:23.389512
0.3097953028263001,0.8685128379379139,22:07:23.688485
0.370811172389579,0.8020752582766184,22:07:24.001016
0.22130344262750754,0.6690355937288491,22:07:20.799489
0.2573995639309099,0.6694254176766072,22:07:21.202111
0.28817453831121526,0.7357022603955159,22:07:21.515973
0.26259247481488057,0.7023689270621826,22:07:21.801977
0.281698420669817,0.36666666666666664,22:07:22.095358
0.28833419086267104,0.2,22:07:22.426925
0.3300888330823039,0.1276142374915397,22:07:22.761597
0.3047250026441332,0.223606797749979,22:07:23.070601
0.3519711147848016,0.40410352085392204,22:07:23.389512
0.3097953028263001,0.8685128379379139,22:07:23.688485
0.370811172389579,0.8020752582766184,22:07:24.001016
0.3583559780904538,0.8372547628811988,22:07:24.328172
0.22130344262750754,0.6690355937288491,22:07:20.799489
0.2573995639309099,0.6694254176766072,22:07:21.202111
0.28817453831121526,0.7357022603955159,22:07:21.515973
0.26259247481488057,0.7023689270621826,22:07:21.801977
0.281698420669817,0.36666666666666664,22:07:22.095358
0.28833419086267104,0.2,22:07:22.426925
0.3300888330823039,0.1276142374915397,22:07:22.761597
0.3047250026441332,0.223606797749979,22:07:23.070601
0.3519711147848016,0.40410352085392204,22:07:23.389512
0.3097953028263001,0.8685128379379139,22:07:23.688485
0.370811172389579,0.8020752582766184,22:07:24.001016
0.3583559780904538,0.8372547628811988,22:07:24.328172
